ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
0,New York Knicks,88,Cleveland Cavaliers,117,1,1,0.91018287537,2016-10-25
1,San Antonio Spurs,129,Golden State Warriors,100,0,1,0.821651084948,2016-10-25
2,Utah Jazz,104,Portland Trail Blazers,113,1,0,0.662855891109,2016-10-25
3,Brooklyn Nets,117,Boston Celtics,122,1,1,0.890574136042,2016-10-26
4,Dallas Mavericks,121,Indiana Pacers,130,1,1,0.724364157799,2016-10-26
5,Houston Rockets,114,Los Angeles Lakers,120,1,0,0.803708172402,2016-10-26
6,Minnesota Timberwolves,98,Memphis Grizzlies,102,1,1,0.704351075131,2016-10-26
7,Charlotte Hornets,107,Milwaukee Bucks,96,0,1,0.63769172486,2016-10-26
8,Denver Nuggets,107,New Orleans Pelicans,102,0,1,0.586711918381,2016-10-26
9,Miami Heat,108,Orlando Magic,96,0,1,0.519604959896,2016-10-26
10,Oklahoma City Thunder,103,Philadelphia 76ers,97,0,0,0.694701330469,2016-10-26
11,Sacramento Kings,113,Phoenix Suns,94,0,0,0.564069152329,2016-10-26
12,Detroit Pistons,91,Toronto Raptors,109,1,1,0.886574024333,2016-10-26
13,Washington Wizards,99,Atlanta Hawks,114,1,1,0.613731999362,2016-10-27
14,Boston Celtics,99,Chicago Bulls,105,1,1,0.620470882057,2016-10-27
15,Los Angeles Clippers,114,Portland Trail Blazers,106,0,0,0.767795653209,2016-10-27
16,San Antonio Spurs,102,Sacramento Kings,94,0,0,0.691247733756,2016-10-27
17,Indiana Pacers,94,Brooklyn Nets,103,1,0,0.543540894194,2016-10-28
18,Houston Rockets,106,Dallas Mavericks,98,0,0,0.793331403189,2016-10-28
19,Orlando Magic,82,Detroit Pistons,108,1,1,0.826942391936,2016-10-28
20,Charlotte Hornets,97,Miami Heat,91,0,0,0.502840980086,2016-10-28
21,Golden State Warriors,122,New Orleans Pelicans,114,0,0,0.879855824311,2016-10-28
22,Phoenix Suns,110,Oklahoma City Thunder,113,1,1,0.874335775077,2016-10-28
23,Cleveland Cavaliers,94,Toronto Raptors,91,0,1,0.68178398273,2016-10-28
24,Los Angeles Lakers,89,Utah Jazz,96,1,1,0.901974511297,2016-10-28
25,Indiana Pacers,101,Chicago Bulls,118,1,1,0.775254099913,2016-10-29
26,Boston Celtics,104,Charlotte Hornets,98,0,1,0.624527188002,2016-10-29
27,Orlando Magic,99,Cleveland Cavaliers,105,1,1,0.945748307366,2016-10-29
28,Portland Trail Blazers,115,Denver Nuggets,113,0,1,0.673880846423,2016-10-29
29,Brooklyn Nets,108,Milwaukee Bucks,110,1,1,0.880318237047,2016-10-29
30,Memphis Grizzlies,104,New York Knicks,111,1,1,0.575548715628,2016-10-29
31,Atlanta Hawks,104,Philadelphia 76ers,72,0,0,0.596282632351,2016-10-29
32,Minnesota Timberwolves,103,Sacramento Kings,106,1,1,0.635035616969,2016-10-29
33,New Orleans Pelicans,79,San Antonio Spurs,98,1,1,0.902604269181,2016-10-29
34,Milwaukee Bucks,83,Detroit Pistons,98,1,1,0.617317282219,2016-10-30
35,Dallas Mavericks,92,Houston Rockets,93,1,1,0.925564076619,2016-10-30
36,Utah Jazz,75,Los Angeles Clippers,88,1,1,0.751668112052,2016-10-30
37,Washington Wizards,103,Memphis Grizzlies,112,1,1,0.668769284767,2016-10-30
38,San Antonio Spurs,106,Miami Heat,99,0,0,0.691713425456,2016-10-30
39,Los Angeles Lakers,96,Oklahoma City Thunder,113,1,1,0.833203174915,2016-10-30
40,Golden State Warriors,106,Phoenix Suns,100,0,0,0.930294779067,2016-10-30
41,Sacramento Kings,95,Atlanta Hawks,106,1,1,0.659775952076,2016-10-31
42,Chicago Bulls,118,Brooklyn Nets,88,0,0,0.695329751575,2016-10-31
43,Phoenix Suns,98,Los Angeles Clippers,116,1,1,0.955662218998,2016-10-31
44,Denver Nuggets,102,Toronto Raptors,105,1,1,0.926162517932,2016-10-31
45,Houston Rockets,120,Cleveland Cavaliers,128,1,1,0.703424527244,2016-11-01
46,New York Knicks,89,Detroit Pistons,102,1,1,0.735291559683,2016-11-01
47,Los Angeles Lakers,108,Indiana Pacers,115,1,1,0.737056023637,2016-11-01
48,Sacramento Kings,96,Miami Heat,108,1,1,0.642329026538,2016-11-01
49,Memphis Grizzlies,80,Minnesota Timberwolves,116,1,1,0.576210444681,2016-11-01
50,Milwaukee Bucks,117,New Orleans Pelicans,113,0,0,0.557759296806,2016-11-01
51,Orlando Magic,103,Philadelphia 76ers,101,0,1,0.548848457028,2016-11-01
52,Golden State Warriors,127,Portland Trail Blazers,104,0,0,0.868972576941,2016-11-01
53,Utah Jazz,106,San Antonio Spurs,91,0,1,0.703417246963,2016-11-01
54,Los Angeles Lakers,123,Atlanta Hawks,116,0,1,0.764283560058,2016-11-02
55,Chicago Bulls,100,Boston Celtics,107,1,1,0.664584690356,2016-11-02
56,Detroit Pistons,101,Brooklyn Nets,109,1,0,0.670536784244,2016-11-02
57,Philadelphia 76ers,93,Charlotte Hornets,109,1,1,0.889688701288,2016-11-02
58,Oklahoma City Thunder,85,Los Angeles Clippers,83,0,1,0.847920882917,2016-11-02
59,New Orleans Pelicans,83,Memphis Grizzlies,89,1,1,0.758980019447,2016-11-02
60,Houston Rockets,118,New York Knicks,99,0,0,0.703608512641,2016-11-02
61,Portland Trail Blazers,115,Phoenix Suns,118,1,0,0.527883854596,2016-11-02
62,Dallas Mavericks,81,Utah Jazz,97,1,1,0.8961210736,2016-11-02
63,Toronto Raptors,113,Washington Wizards,103,0,0,0.758898944063,2016-11-02
64,Boston Celtics,122,Cleveland Cavaliers,128,1,1,0.841740653255,2016-11-03
65,Oklahoma City Thunder,96,Golden State Warriors,122,1,1,0.917917715503,2016-11-03
66,Indiana Pacers,107,Milwaukee Bucks,125,1,1,0.774373145249,2016-11-03
67,Denver Nuggets,102,Minnesota Timberwolves,99,0,1,0.652348963068,2016-11-03
68,Sacramento Kings,94,Orlando Magic,102,1,1,0.519060048008,2016-11-03
69,Charlotte Hornets,99,Brooklyn Nets,95,0,0,0.698974146325,2016-11-04
70,New York Knicks,117,Chicago Bulls,104,0,1,0.756977667828,2016-11-04
71,Portland Trail Blazers,105,Dallas Mavericks,95,0,1,0.570577552975,2016-11-04
72,Golden State Warriors,97,Los Angeles Lakers,117,1,0,0.905499049135,2016-11-04
73,Los Angeles Clippers,99,Memphis Grizzlies,88,0,0,0.676041917481,2016-11-04
74,Phoenix Suns,112,New Orleans Pelicans,111,0,1,0.766352880127,2016-11-04
75,Miami Heat,87,Toronto Raptors,96,1,1,0.925769116052,2016-11-04
76,San Antonio Spurs,100,Utah Jazz,86,0,1,0.577304115938,2016-11-04
77,Atlanta Hawks,92,Washington Wizards,95,1,1,0.670912104612,2016-11-04
78,Houston Rockets,97,Atlanta Hawks,112,1,0,0.694447412742,2016-11-05
79,Denver Nuggets,86,Detroit Pistons,103,1,1,0.742812664758,2016-11-05
80,Chicago Bulls,94,Indiana Pacers,111,1,0,0.515714880872,2016-11-05
81,Sacramento Kings,91,Milwaukee Bucks,117,1,1,0.761734189466,2016-11-05
82,Minnesota Timberwolves,92,Oklahoma City Thunder,112,1,1,0.742824087763,2016-11-05
83,Washington Wizards,86,Orlando Magic,88,1,0,0.530709266469,2016-11-05
84,Cleveland Cavaliers,102,Philadelphia 76ers,101,0,0,0.88841507696,2016-11-05
85,Los Angeles Clippers,116,San Antonio Spurs,92,0,1,0.585104862069,2016-11-05
86,Denver Nuggets,123,Boston Celtics,107,0,1,0.780965918501,2016-11-06
87,Milwaukee Bucks,75,Dallas Mavericks,86,1,0,0.607394856012,2016-11-06
88,Phoenix Suns,108,Los Angeles Lakers,119,1,1,0.71484239042,2016-11-06
89,Portland Trail Blazers,100,Memphis Grizzlies,94,0,1,0.740378160208,2016-11-06
90,Utah Jazz,114,New York Knicks,109,0,0,0.622206838157,2016-11-06
91,Sacramento Kings,96,Toronto Raptors,91,0,1,0.925618965462,2016-11-06
92,Orlando Magic,80,Chicago Bulls,112,1,1,0.842726057949,2016-11-07
93,Indiana Pacers,100,Charlotte Hornets,122,1,1,0.778247354691,2016-11-07
94,New Orleans Pelicans,106,Golden State Warriors,116,1,1,0.959550309452,2016-11-07
95,Detroit Pistons,82,Los Angeles Clippers,114,1,1,0.853229268736,2016-11-07
96,Miami Heat,85,Oklahoma City Thunder,97,1,1,0.749635757819,2016-11-07
97,Utah Jazz,109,Philadelphia 76ers,84,0,0,0.807375961729,2016-11-07
98,Houston Rockets,114,Washington Wizards,106,0,0,0.667378327923,2016-11-07
99,Minnesota Timberwolves,110,Brooklyn Nets,119,1,0,0.569388123486,2016-11-08
100,Atlanta Hawks,110,Cleveland Cavaliers,106,0,1,0.9065587964,2016-11-08
101,Dallas Mavericks,109,Los Angeles Lakers,97,0,1,0.627886579256,2016-11-08
102,Denver Nuggets,107,Memphis Grizzlies,108,1,1,0.712962216658,2016-11-08
103,Phoenix Suns,121,Portland Trail Blazers,124,1,1,0.783637524296,2016-11-08
104,New Orleans Pelicans,94,Sacramento Kings,102,1,1,0.696962004682,2016-11-08
105,Chicago Bulls,107,Atlanta Hawks,115,1,1,0.520664763918,2016-11-09
106,Utah Jazz,98,Charlotte Hornets,104,1,1,0.516705291259,2016-11-09
107,Dallas Mavericks,95,Golden State Warriors,116,1,1,0.966776415793,2016-11-09
108,Philadelphia 76ers,115,Indiana Pacers,122,1,1,0.805299770284,2016-11-09
109,Portland Trail Blazers,80,Los Angeles Clippers,111,1,1,0.914608224533,2016-11-09
110,Brooklyn Nets,96,New York Knicks,110,1,1,0.810303895895,2016-11-09
111,Toronto Raptors,112,Oklahoma City Thunder,102,0,0,0.69827644979,2016-11-09
112,Minnesota Timberwolves,123,Orlando Magic,107,0,1,0.510620497755,2016-11-09
113,Detroit Pistons,100,Phoenix Suns,107,1,0,0.673210252569,2016-11-09
114,Houston Rockets,101,San Antonio Spurs,99,0,1,0.621991264006,2016-11-09
115,Boston Celtics,93,Washington Wizards,118,1,1,0.52777801951,2016-11-09
116,Golden State Warriors,125,Denver Nuggets,101,0,0,0.852429505981,2016-11-10
117,Chicago Bulls,98,Miami Heat,95,0,1,0.501474346197,2016-11-10
118,New Orleans Pelicans,112,Milwaukee Bucks,106,0,1,0.803357643883,2016-11-10
119,Los Angeles Lakers,101,Sacramento Kings,91,0,1,0.750575402426,2016-11-10
120,New York Knicks,87,Boston Celtics,115,1,1,0.774221424424,2016-11-11
121,Toronto Raptors,113,Charlotte Hornets,111,0,0,0.678976080774,2016-11-11
122,Los Angeles Clippers,110,Oklahoma City Thunder,108,0,0,0.632520770238,2016-11-11
123,Utah Jazz,87,Orlando Magic,74,0,0,0.739119683074,2016-11-11
124,Indiana Pacers,105,Philadelphia 76ers,109,1,0,0.560800954263,2016-11-11
125,Sacramento Kings,120,Portland Trail Blazers,122,1,1,0.60864691113,2016-11-11
126,Detroit Pistons,86,San Antonio Spurs,96,1,1,0.819985869307,2016-11-11
127,Cleveland Cavaliers,105,Washington Wizards,94,0,0,0.725585690692,2016-11-11
128,Philadelphia 76ers,96,Atlanta Hawks,117,1,1,0.827118259528,2016-11-12
129,Washington Wizards,95,Chicago Bulls,106,1,1,0.724718848833,2016-11-12
130,Detroit Pistons,106,Denver Nuggets,95,0,1,0.528643865956,2016-11-12
131,San Antonio Spurs,106,Houston Rockets,100,0,1,0.663142842518,2016-11-12
132,Boston Celtics,105,Indiana Pacers,99,0,0,0.539667205367,2016-11-12
133,Utah Jazz,102,Miami Heat,91,0,0,0.62999330406,2016-11-12
134,Memphis Grizzlies,96,Milwaukee Bucks,106,1,1,0.700144877244,2016-11-12
135,Los Angeles Clippers,119,Minnesota Timberwolves,105,0,0,0.7342073701,2016-11-12
136,Los Angeles Lakers,126,New Orleans Pelicans,99,0,1,0.701924878869,2016-11-12
137,Brooklyn Nets,122,Phoenix Suns,104,0,1,0.640041262425,2016-11-12
138,New York Knicks,107,Toronto Raptors,118,1,1,0.923450684052,2016-11-12
139,Charlotte Hornets,93,Cleveland Cavaliers,100,1,1,0.851965177574,2016-11-13
140,Phoenix Suns,120,Golden State Warriors,133,1,1,0.977391613069,2016-11-13
141,Los Angeles Lakers,99,Minnesota Timberwolves,125,1,1,0.756847365748,2016-11-13
142,Orlando Magic,119,Oklahoma City Thunder,117,0,1,0.832838680602,2016-11-13
143,Denver Nuggets,105,Portland Trail Blazers,112,1,1,0.610532162963,2016-11-13
144,Oklahoma City Thunder,88,Detroit Pistons,104,1,1,0.633183827942,2016-11-14
145,Philadelphia 76ers,88,Houston Rockets,115,1,1,0.951385825242,2016-11-14
146,Orlando Magic,69,Indiana Pacers,88,1,1,0.736547856839,2016-11-14
147,Brooklyn Nets,95,Los Angeles Clippers,127,1,1,0.955145532021,2016-11-14
148,Boston Celtics,105,New Orleans Pelicans,106,1,0,0.58254873321,2016-11-14
149,Dallas Mavericks,77,New York Knicks,93,1,1,0.744264670021,2016-11-14
150,Miami Heat,90,San Antonio Spurs,94,1,1,0.87905187094,2016-11-14
151,Memphis Grizzlies,102,Utah Jazz,96,0,1,0.800771374661,2016-11-14
152,Toronto Raptors,117,Cleveland Cavaliers,121,1,1,0.601892734295,2016-11-15
153,Brooklyn Nets,118,Los Angeles Lakers,125,1,1,0.712363993058,2016-11-15
154,Atlanta Hawks,93,Miami Heat,90,0,1,0.625008367324,2016-11-15
155,Charlotte Hornets,115,Minnesota Timberwolves,108,0,1,0.506151599665,2016-11-15
156,Chicago Bulls,113,Portland Trail Blazers,88,0,0,0.534435812014,2016-11-15
157,Milwaukee Bucks,100,Atlanta Hawks,107,1,1,0.521924750575,2016-11-16
158,Dallas Mavericks,83,Boston Celtics,90,1,1,0.847210330772,2016-11-16
159,Phoenix Suns,104,Denver Nuggets,120,1,1,0.806138541821,2016-11-16
160,Cleveland Cavaliers,93,Indiana Pacers,103,1,0,0.776010992656,2016-11-16
161,Memphis Grizzlies,111,Los Angeles Clippers,107,0,1,0.871129332716,2016-11-16
162,Detroit Pistons,102,New York Knicks,105,1,1,0.538350049231,2016-11-16
163,Houston Rockets,103,Oklahoma City Thunder,105,1,0,0.595994462593,2016-11-16
164,New Orleans Pelicans,82,Orlando Magic,89,1,1,0.579684839752,2016-11-16
165,Washington Wizards,102,Philadelphia 76ers,109,1,0,0.625894244838,2016-11-16
166,San Antonio Spurs,110,Sacramento Kings,105,0,0,0.691247733756,2016-11-16
167,Golden State Warriors,127,Toronto Raptors,121,0,1,0.546794806086,2016-11-16
168,Portland Trail Blazers,109,Houston Rockets,126,1,1,0.901765988573,2016-11-17
169,Milwaukee Bucks,73,Miami Heat,96,1,1,0.502736600075,2016-11-17
170,Philadelphia 76ers,86,Minnesota Timberwolves,110,1,1,0.821200586983,2016-11-17
171,Chicago Bulls,85,Utah Jazz,77,0,1,0.755054756262,2016-11-17
172,New York Knicks,112,Washington Wizards,119,1,1,0.680454147009,2016-11-17
173,Golden State Warriors,104,Boston Celtics,88,0,0,0.744625525968,2016-11-18
174,Atlanta Hawks,96,Charlotte Hornets,100,1,1,0.752109621042,2016-11-18
175,Detroit Pistons,81,Cleveland Cavaliers,104,1,1,0.867829426715,2016-11-18
176,Memphis Grizzlies,80,Dallas Mavericks,64,0,0,0.543900898111,2016-11-18
177,Toronto Raptors,113,Denver Nuggets,111,0,0,0.794757210226,2016-11-18
178,Phoenix Suns,116,Indiana Pacers,96,0,1,0.796096385965,2016-11-18
179,San Antonio Spurs,116,Los Angeles Lakers,107,0,0,0.789177117208,2016-11-18
180,Portland Trail Blazers,101,New Orleans Pelicans,113,1,1,0.619755233689,2016-11-18
181,Brooklyn Nets,105,Oklahoma City Thunder,124,1,1,0.872997305288,2016-11-18
182,Los Angeles Clippers,121,Sacramento Kings,115,0,0,0.740748756315,2016-11-18
183,Boston Celtics,94,Detroit Pistons,92,0,1,0.593150554863,2016-11-19
184,Utah Jazz,102,Houston Rockets,111,1,1,0.72177540012,2016-11-19
185,Chicago Bulls,95,Los Angeles Clippers,102,1,1,0.83829742473,2016-11-19
186,Minnesota Timberwolves,71,Memphis Grizzlies,93,1,1,0.704351075131,2016-11-19
187,Golden State Warriors,124,Milwaukee Bucks,121,0,0,0.763383942917,2016-11-19
188,Charlotte Hornets,116,New Orleans Pelicans,121,1,0,0.563255193612,2016-11-19
189,Dallas Mavericks,87,Orlando Magic,95,1,1,0.628498624766,2016-11-19
190,Phoenix Suns,105,Philadelphia 76ers,120,1,1,0.629480652241,2016-11-19
191,Miami Heat,114,Washington Wizards,111,0,1,0.687642782029,2016-11-19
192,Portland Trail Blazers,129,Brooklyn Nets,109,0,0,0.524860585351,2016-11-20
193,Utah Jazz,91,Denver Nuggets,105,1,0,0.631329993771,2016-11-20
194,Chicago Bulls,118,Los Angeles Lakers,110,0,0,0.623852605109,2016-11-20
195,Atlanta Hawks,94,New York Knicks,104,1,1,0.63277117134,2016-11-20
196,Indiana Pacers,115,Oklahoma City Thunder,111,0,1,0.762321278827,2016-11-20
197,Toronto Raptors,99,Sacramento Kings,102,1,0,0.793462041303,2016-11-20
198,Memphis Grizzlies,105,Charlotte Hornets,90,0,1,0.704807784934,2016-11-21
199,Houston Rockets,99,Detroit Pistons,96,0,0,0.606010469089,2016-11-21
200,Golden State Warriors,120,Indiana Pacers,83,0,0,0.86018453649,2016-11-21
201,Toronto Raptors,115,Los Angeles Clippers,123,1,1,0.572390845636,2016-11-21
202,Orlando Magic,89,Milwaukee Bucks,93,1,1,0.842055696411,2016-11-21
203,Boston Celtics,99,Minnesota Timberwolves,93,0,0,0.513560086519,2016-11-21
204,Miami Heat,94,Philadelphia 76ers,101,1,0,0.577663945517,2016-11-21
205,Dallas Mavericks,91,San Antonio Spurs,96,1,1,0.919146254852,2016-11-21
206,Phoenix Suns,101,Washington Wizards,106,1,1,0.836484805643,2016-11-21
207,New Orleans Pelicans,112,Atlanta Hawks,94,0,1,0.71248801752,2016-11-22
208,Chicago Bulls,107,Denver Nuggets,110,1,1,0.500039686655,2016-11-22
209,Oklahoma City Thunder,109,Los Angeles Lakers,111,1,0,0.606628204958,2016-11-22
210,Portland Trail Blazers,103,New York Knicks,107,1,1,0.682393118814,2016-11-22
211,Boston Celtics,111,Brooklyn Nets,92,0,0,0.715302616975,2016-11-23
212,San Antonio Spurs,119,Charlotte Hornets,114,0,0,0.552087296441,2016-11-23
213,Portland Trail Blazers,125,Cleveland Cavaliers,137,1,1,0.923649022057,2016-11-23
214,Los Angeles Clippers,124,Dallas Mavericks,104,0,0,0.81748019426,2016-11-23
215,Miami Heat,84,Detroit Pistons,107,1,1,0.741714813771,2016-11-23
216,Los Angeles Lakers,106,Golden State Warriors,149,1,1,0.968787193932,2016-11-23
217,Toronto Raptors,115,Houston Rockets,102,0,1,0.534288347767,2016-11-23
218,Atlanta Hawks,96,Indiana Pacers,85,0,1,0.608755419896,2016-11-23
219,Minnesota Timberwolves,96,New Orleans Pelicans,117,1,1,0.576562715972,2016-11-23
220,Phoenix Suns,92,Orlando Magic,87,0,1,0.715376245686,2016-11-23
221,Memphis Grizzlies,104,Philadelphia 76ers,99,0,0,0.652398027724,2016-11-23
222,Oklahoma City Thunder,101,Sacramento Kings,116,1,1,0.520202117523,2016-11-23
223,Denver Nuggets,83,Utah Jazz,108,1,1,0.847259539442,2016-11-23
224,San Antonio Spurs,109,Boston Celtics,103,0,0,0.532515679711,2016-11-25
225,Dallas Mavericks,90,Cleveland Cavaliers,128,1,1,0.942483874852,2016-11-25
226,Oklahoma City Thunder,132,Denver Nuggets,129,0,1,0.518224652789,2016-11-25
227,Los Angeles Clippers,97,Detroit Pistons,108,1,0,0.642174903278,2016-11-25
228,Brooklyn Nets,97,Indiana Pacers,118,1,1,0.794120801926,2016-11-25
229,Golden State Warriors,109,Los Angeles Lakers,85,0,0,0.905499049135,2016-11-25
230,Miami Heat,90,Memphis Grizzlies,81,0,1,0.711786383756,2016-11-25
231,Toronto Raptors,105,Milwaukee Bucks,99,0,0,0.683819516455,2016-11-25
232,Charlotte Hornets,111,New York Knicks,113,1,1,0.505474362709,2016-11-25
233,Washington Wizards,94,Orlando Magic,91,0,0,0.530709266469,2016-11-25
234,Chicago Bulls,105,Philadelphia 76ers,89,0,0,0.709913431479,2016-11-25
235,Minnesota Timberwolves,98,Phoenix Suns,85,0,0,0.572358912726,2016-11-25
236,New Orleans Pelicans,104,Portland Trail Blazers,119,1,1,0.66526153708,2016-11-25
237,Houston Rockets,117,Sacramento Kings,104,0,0,0.710048661817,2016-11-25
238,Atlanta Hawks,68,Utah Jazz,95,1,1,0.8362681797,2016-11-25
