ID,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result,Winner_Odd
0,2016-10-13,00:30,Florida Panthers vs New Jersey Devils,Florida Panthers,New Jersey Devils,2.16,3.88,Florida Panthers,New Jersey Devils,0.513,Y,Florida Panthers,2.16
1,2016-10-13,00:30,Tampa Bay Lightning vs Detroit Red Wings,Tampa Bay Lightning,Detroit Red Wings,2.91,3.06,Tampa Bay Lightning,Tampa Bay Lightning,0.68,N,Tampa Bay Lightning,2.91
2,2016-10-13,01:00,Pittsburgh Penguins vs Washington Capitals,Pittsburgh Penguins,Washington Capitals,2.61,3.91,Pittsburgh Penguins,Washington Capitals,0.51,Y,Pittsburgh Penguins,2.61
3,2016-10-13,01:00,St. Louis Blues vs Minnesota Wild,St. Louis Blues,Minnesota Wild,2.35,2.22,Minnesota Wild,Minnesota Wild,0.553,N,St. Louis Blues,2.35
4,2016-10-13,01:00,Winnipeg Jets vs Carolina Hurricanes,Winnipeg Jets,Carolina Hurricanes,3.8,2.84,Carolina Hurricanes,Winnipeg Jets,0.629,Y,Winnipeg Jets,3.8
5,2016-10-13,01:30,Dallas Stars vs Anaheim Ducks,Dallas Stars,Anaheim Ducks,3.85,2.49,Anaheim Ducks,Anaheim Ducks,0.603,N,Dallas Stars,3.85
6,2016-10-14,01:00,Nashville Predators vs Chicago Blackhawks,Nashville Predators,Chicago Blackhawks,2.72,2.48,Chicago Blackhawks,Chicago Blackhawks,0.549,N,Nashville Predators,2.72
7,2016-10-14,02:00,Calgary Flames vs Edmonton Oilers,Calgary Flames,Edmonton Oilers,2.29,3.86,Calgary Flames,Edmonton Oilers,0.62,Y,Edmonton Oilers,3.86
8,2016-10-14,03:30,Los Angeles Kings vs Philadelphia Flyers,Los Angeles Kings,Philadelphia Flyers,3.84,2.67,Philadelphia Flyers,Los Angeles Kings,0.607,Y,Philadelphia Flyers,2.67
9,2016-10-15,00:00,Columbus Blue Jackets vs San Jose Sharks,Columbus Blue Jackets,San Jose Sharks,2.1,4.0,Columbus Blue Jackets,Columbus Blue Jackets,0.648,N,San Jose Sharks,4.0
10,2016-10-15,00:00,Florida Panthers vs Detroit Red Wings,Florida Panthers,Detroit Red Wings,2.96,2.74,Detroit Red Wings,Florida Panthers,0.574,Y,Florida Panthers,2.96
11,2016-10-15,00:00,Minnesota Wild vs Winnipeg Jets,Minnesota Wild,Winnipeg Jets,3.84,2.25,Winnipeg Jets,Minnesota Wild,0.669,Y,Minnesota Wild,3.84
12,2016-10-15,00:00,Ottawa Senators vs Montreal Canadiens,Ottawa Senators,Montreal Canadiens,1.84,4.12,Ottawa Senators,Montreal Canadiens,0.67,Y,Ottawa Senators,1.84
13,2016-10-15,00:00,Pittsburgh Penguins vs Anaheim Ducks,Pittsburgh Penguins,Anaheim Ducks,3.61,2.69,Anaheim Ducks,Pittsburgh Penguins,0.56,Y,Pittsburgh Penguins,3.61
14,2016-10-15,00:00,Tampa Bay Lightning vs New Jersey Devils,Tampa Bay Lightning,New Jersey Devils,3.77,2.34,New Jersey Devils,Tampa Bay Lightning,0.6,Y,Tampa Bay Lightning,3.77
15,2016-10-15,00:00,Toronto Maple Leafs vs Boston Bruins,Toronto Maple Leafs,Boston Bruins,1.86,4.06,Toronto Maple Leafs,Boston Bruins,0.647,Y,Toronto Maple Leafs,1.86
16,2016-10-15,00:00,Washington Capitals vs New York Islanders,Washington Capitals,New York Islanders,3.53,2.32,New York Islanders,Washington Capitals,0.722,Y,Washington Capitals,3.53
17,2016-10-15,01:00,St. Louis Blues vs New York Rangers,St. Louis Blues,New York Rangers,3.82,2.62,New York Rangers,New York Rangers,0.713,N,St. Louis Blues,3.82
18,2016-10-15,01:30,Chicago Blackhawks vs Nashville Predators,Chicago Blackhawks,Nashville Predators,3.98,2.37,Nashville Predators,Chicago Blackhawks,0.652,Y,Chicago Blackhawks,3.98
19,2016-10-15,02:00,Arizona Coyotes vs Philadelphia Flyers,Arizona Coyotes,Philadelphia Flyers,3.85,2.53,Philadelphia Flyers,Philadelphia Flyers,0.552,N,Arizona Coyotes,3.85
20,2016-10-15,02:00,Colorado Avalanche vs Dallas Stars,Colorado Avalanche,Dallas Stars,1.74,4.19,Colorado Avalanche,Colorado Avalanche,0.549,N,Colorado Avalanche,1.74
21,2016-10-15,03:00,Vancouver Canucks vs Calgary Flames,Vancouver Canucks,Calgary Flames,2.45,2.45,,Vancouver Canucks,0.571,Y,Vancouver Canucks,2.45
22,2016-10-16,00:00,Edmonton Oilers vs Buffalo Sabres,Edmonton Oilers,Buffalo Sabres,3.84,3.17,Buffalo Sabres,Edmonton Oilers,0.68,Y,Buffalo Sabres,3.17
23,2016-10-16,03:00,Vancouver Canucks vs Carolina Hurricanes,Vancouver Canucks,Carolina Hurricanes,2.67,2.04,Carolina Hurricanes,Carolina Hurricanes,0.518,N,Vancouver Canucks,2.67
24,2016-10-16,23:00,New York Islanders vs Anaheim Ducks,New York Islanders,Anaheim Ducks,2.58,3.71,New York Islanders,Anaheim Ducks,0.56,Y,New York Islanders,2.58
25,2016-10-17,00:00,New York Rangers vs San Jose Sharks,New York Rangers,San Jose Sharks,3.87,2.65,San Jose Sharks,New York Rangers,0.74,Y,New York Rangers,3.87
26,2016-10-17,00:00,Pittsburgh Penguins vs Colorado Avalanche,Pittsburgh Penguins,Colorado Avalanche,2.31,3.88,Pittsburgh Penguins,Pittsburgh Penguins,0.71,N,Colorado Avalanche,3.88
27,2016-10-17,00:30,Detroit Red Wings vs Ottawa Senators,Detroit Red Wings,Ottawa Senators,2.99,2.34,Ottawa Senators,Detroit Red Wings,0.579,Y,Detroit Red Wings,2.99
28,2016-10-17,01:00,Winnipeg Jets vs Boston Bruins,Winnipeg Jets,Boston Bruins,2.08,4.01,Winnipeg Jets,Boston Bruins,0.624,Y,Boston Bruins,4.01
29,2016-10-18,00:00,New Jersey Devils vs Anaheim Ducks,New Jersey Devils,Anaheim Ducks,2.03,3.94,New Jersey Devils,New Jersey Devils,0.594,N,New Jersey Devils,2.03
30,2016-10-18,00:00,New York Islanders vs San Jose Sharks,New York Islanders,San Jose Sharks,3.16,2.29,San Jose Sharks,San Jose Sharks,0.594,N,San Jose Sharks,2.29
31,2016-10-18,00:00,Washington Capitals vs Colorado Avalanche,Washington Capitals,Colorado Avalanche,3.78,2.74,Colorado Avalanche,Washington Capitals,0.76,Y,Washington Capitals,3.78
32,2016-10-18,00:30,Montreal Canadiens vs Pittsburgh Penguins,Montreal Canadiens,Pittsburgh Penguins,2.07,3.95,Montreal Canadiens,Montreal Canadiens,0.694,N,Montreal Canadiens,2.07
33,2016-10-18,00:30,Ottawa Senators vs Arizona Coyotes,Ottawa Senators,Arizona Coyotes,3.03,2.17,Arizona Coyotes,Ottawa Senators,0.699,Y,Ottawa Senators,3.03
34,2016-10-18,00:30,Tampa Bay Lightning vs Florida Panthers,Tampa Bay Lightning,Florida Panthers,3.87,2.9,Florida Panthers,Tampa Bay Lightning,0.662,Y,Tampa Bay Lightning,3.87
35,2016-10-18,01:00,Minnesota Wild vs Los Angeles Kings,Minnesota Wild,Los Angeles Kings,2.54,3.13,Minnesota Wild,Minnesota Wild,0.683,N,Minnesota Wild,2.54
36,2016-10-18,01:00,Nashville Predators vs Dallas Stars,Nashville Predators,Dallas Stars,3.85,2.06,Dallas Stars,Nashville Predators,0.631,Y,Dallas Stars,2.06
37,2016-10-18,01:30,Chicago Blackhawks vs Philadelphia Flyers,Chicago Blackhawks,Philadelphia Flyers,2.39,3.98,Chicago Blackhawks,Chicago Blackhawks,0.692,N,Chicago Blackhawks,2.39
38,2016-10-18,02:00,Calgary Flames vs Buffalo Sabres,Calgary Flames,Buffalo Sabres,2.3,1.97,Buffalo Sabres,Calgary Flames,0.513,Y,Calgary Flames,2.3
39,2016-10-18,02:00,Edmonton Oilers vs Carolina Hurricanes,Edmonton Oilers,Carolina Hurricanes,4.06,3.26,Carolina Hurricanes,Edmonton Oilers,0.637,Y,Edmonton Oilers,4.06
40,2016-10-18,03:00,Vancouver Canucks vs St. Louis Blues,Vancouver Canucks,St. Louis Blues,2.67,3.89,Vancouver Canucks,St. Louis Blues,0.609,Y,Vancouver Canucks,2.67
41,2016-10-19,01:00,New York Rangers vs Detroit Red Wings,New York Rangers,Detroit Red Wings,3.21,2.39,Detroit Red Wings,New York Rangers,0.798,Y,Detroit Red Wings,2.39
42,2016-10-19,01:00,Winnipeg Jets vs Toronto Maple Leafs,Winnipeg Jets,Toronto Maple Leafs,3.81,2.6,Toronto Maple Leafs,Winnipeg Jets,0.578,Y,Winnipeg Jets,3.81
43,2016-10-20,00:00,Boston Bruins vs New Jersey Devils,Boston Bruins,New Jersey Devils,3.74,1.85,New Jersey Devils,Boston Bruins,0.636,Y,Boston Bruins,3.74
44,2016-10-20,00:00,Philadelphia Flyers vs Anaheim Ducks,Philadelphia Flyers,Anaheim Ducks,4.08,3.61,Anaheim Ducks,Anaheim Ducks,0.57,N,Anaheim Ducks,3.61
45,2016-10-20,00:00,Pittsburgh Penguins vs San Jose Sharks,Pittsburgh Penguins,San Jose Sharks,2.04,3.83,Pittsburgh Penguins,Pittsburgh Penguins,0.526,N,Pittsburgh Penguins,2.04
46,2016-10-20,00:30,Florida Panthers vs Washington Capitals,Florida Panthers,Washington Capitals,3.64,2.69,Washington Capitals,Washington Capitals,0.543,N,Washington Capitals,2.69
47,2016-10-20,00:30,Montreal Canadiens vs Arizona Coyotes,Montreal Canadiens,Arizona Coyotes,3.76,2.35,Arizona Coyotes,Montreal Canadiens,0.854,Y,Montreal Canadiens,3.76
48,2016-10-20,00:30,Tampa Bay Lightning vs Colorado Avalanche,Tampa Bay Lightning,Colorado Avalanche,1.81,4.16,Tampa Bay Lightning,Tampa Bay Lightning,0.773,N,Colorado Avalanche,4.16
49,2016-10-20,01:00,Minnesota Wild vs Toronto Maple Leafs,Minnesota Wild,Toronto Maple Leafs,1.84,4.14,Minnesota Wild,Minnesota Wild,0.691,N,Minnesota Wild,1.84
50,2016-10-20,01:30,Dallas Stars vs Los Angeles Kings,Dallas Stars,Los Angeles Kings,3.4,1.84,Los Angeles Kings,Los Angeles Kings,0.535,N,Los Angeles Kings,1.84
51,2016-10-20,02:00,Calgary Flames vs Carolina Hurricanes,Calgary Flames,Carolina Hurricanes,3.89,2.24,Carolina Hurricanes,Carolina Hurricanes,0.536,N,Carolina Hurricanes,2.24
52,2016-10-20,02:00,Edmonton Oilers vs St. Louis Blues,Edmonton Oilers,St. Louis Blues,1.95,3.93,Edmonton Oilers,Edmonton Oilers,0.547,N,Edmonton Oilers,1.95
53,2016-10-20,03:00,Vancouver Canucks vs Buffalo Sabres,Vancouver Canucks,Buffalo Sabres,2.47,2.79,Vancouver Canucks,Vancouver Canucks,0.53,N,Vancouver Canucks,2.47
54,2016-10-21,00:00,Columbus Blue Jackets vs Chicago Blackhawks,Columbus Blue Jackets,Chicago Blackhawks,3.85,2.85,Chicago Blackhawks,Columbus Blue Jackets,0.657,Y,Columbus Blue Jackets,3.85
55,2016-10-21,00:00,New York Islanders vs Arizona Coyotes,New York Islanders,Arizona Coyotes,2.47,3.9,New York Islanders,New York Islanders,0.664,N,New York Islanders,2.47
56,2016-10-21,00:30,Detroit Red Wings vs Nashville Predators,Detroit Red Wings,Nashville Predators,3.39,2.2,Nashville Predators,Detroit Red Wings,0.585,Y,Detroit Red Wings,3.39
57,2016-10-22,00:00,Boston Bruins vs Montreal Canadiens,Boston Bruins,Montreal Canadiens,3.81,3.3,Montreal Canadiens,Boston Bruins,0.523,Y,Montreal Canadiens,3.3
58,2016-10-22,00:00,Chicago Blackhawks vs Toronto Maple Leafs,Chicago Blackhawks,Toronto Maple Leafs,1.99,3.86,Chicago Blackhawks,Chicago Blackhawks,0.652,N,Chicago Blackhawks,1.99
59,2016-10-22,00:00,Detroit Red Wings vs San Jose Sharks,Detroit Red Wings,San Jose Sharks,3.3,1.83,San Jose Sharks,San Jose Sharks,0.528,N,Detroit Red Wings,3.3
60,2016-10-22,00:00,Florida Panthers vs Colorado Avalanche,Florida Panthers,Colorado Avalanche,4.02,3.62,Colorado Avalanche,Florida Panthers,0.683,Y,Florida Panthers,4.02
61,2016-10-22,00:00,New Jersey Devils vs Minnesota Wild,New Jersey Devils,Minnesota Wild,1.89,3.91,New Jersey Devils,New Jersey Devils,0.526,N,New Jersey Devils,1.89
62,2016-10-22,00:00,Ottawa Senators vs Tampa Bay Lightning,Ottawa Senators,Tampa Bay Lightning,3.52,1.86,Tampa Bay Lightning,Tampa Bay Lightning,0.606,N,Tampa Bay Lightning,1.86
63,2016-10-22,00:00,Philadelphia Flyers vs Carolina Hurricanes,Philadelphia Flyers,Carolina Hurricanes,3.96,3.66,Carolina Hurricanes,Philadelphia Flyers,0.562,Y,Philadelphia Flyers,3.96
64,2016-10-22,00:00,Washington Capitals vs New York Rangers,Washington Capitals,New York Rangers,1.9,4.11,Washington Capitals,New York Rangers,0.616,Y,New York Rangers,4.11
65,2016-10-22,01:00,Dallas Stars vs Columbus Blue Jackets,Dallas Stars,Columbus Blue Jackets,2.67,3.83,Dallas Stars,Columbus Blue Jackets,0.722,Y,Columbus Blue Jackets,3.83
66,2016-10-22,01:00,Nashville Predators vs Pittsburgh Penguins,Nashville Predators,Pittsburgh Penguins,2.33,2.0,Pittsburgh Penguins,Pittsburgh Penguins,0.531,N,Nashville Predators,2.33
67,2016-10-22,03:00,Calgary Flames vs St. Louis Blues,Calgary Flames,St. Louis Blues,3.1,2.79,St. Louis Blues,St. Louis Blues,0.626,N,St. Louis Blues,2.79
68,2016-10-22,03:00,Los Angeles Kings vs Vancouver Canucks,Los Angeles Kings,Vancouver Canucks,3.91,2.22,Vancouver Canucks,Los Angeles Kings,0.679,Y,Los Angeles Kings,3.91
69,2016-10-23,00:00,New York Rangers vs Arizona Coyotes,New York Rangers,Arizona Coyotes,3.88,2.08,Arizona Coyotes,New York Rangers,0.891,Y,New York Rangers,3.88
70,2016-10-23,01:00,Anaheim Ducks vs Vancouver Canucks,Anaheim Ducks,Vancouver Canucks,1.77,4.07,Anaheim Ducks,Anaheim Ducks,0.737,N,Anaheim Ducks,1.77
71,2016-10-23,20:00,Winnipeg Jets vs Edmonton Oilers,Winnipeg Jets,Edmonton Oilers,2.07,3.88,Winnipeg Jets,Winnipeg Jets,0.546,N,Edmonton Oilers,3.88
72,2016-10-23,23:00,New York Islanders vs Minnesota Wild,New York Islanders,Minnesota Wild,3.82,3.1,Minnesota Wild,Minnesota Wild,0.626,N,New York Islanders,3.82
73,2016-10-24,00:30,Montreal Canadiens vs Philadelphia Flyers,Montreal Canadiens,Philadelphia Flyers,3.95,2.96,Philadelphia Flyers,Montreal Canadiens,0.793,Y,Montreal Canadiens,3.95
74,2016-10-24,01:30,Chicago Blackhawks vs Calgary Flames,Chicago Blackhawks,Calgary Flames,2.47,2.09,Calgary Flames,Chicago Blackhawks,0.769,Y,Calgary Flames,2.09
75,2016-10-25,00:00,Boston Bruins vs Minnesota Wild,Boston Bruins,Minnesota Wild,3.16,2.05,Minnesota Wild,Boston Bruins,0.61,Y,Minnesota Wild,2.05
76,2016-10-25,00:00,New Jersey Devils vs Arizona Coyotes,New Jersey Devils,Arizona Coyotes,3.77,3.23,Arizona Coyotes,New Jersey Devils,0.786,Y,New Jersey Devils,3.77
77,2016-10-25,00:00,Pittsburgh Penguins vs Florida Panthers,Pittsburgh Penguins,Florida Panthers,2.54,3.74,Pittsburgh Penguins,Pittsburgh Penguins,0.586,N,Pittsburgh Penguins,2.54
78,2016-10-25,00:30,Detroit Red Wings vs Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,3.81,2.41,Carolina Hurricanes,Detroit Red Wings,0.636,Y,Detroit Red Wings,3.81
79,2016-10-25,00:30,Philadelphia Flyers vs Buffalo Sabres,Philadelphia Flyers,Buffalo Sabres,3.8,2.57,Buffalo Sabres,Philadelphia Flyers,0.608,Y,Philadelphia Flyers,3.8
80,2016-10-25,00:30,Toronto Maple Leafs vs Tampa Bay Lightning,Toronto Maple Leafs,Tampa Bay Lightning,2.03,3.88,Toronto Maple Leafs,Tampa Bay Lightning,0.611,Y,Tampa Bay Lightning,3.88
81,2016-10-25,01:00,St. Louis Blues vs Calgary Flames,St. Louis Blues,Calgary Flames,1.8,4.04,St. Louis Blues,St. Louis Blues,0.721,N,Calgary Flames,4.04
82,2016-10-25,01:30,Dallas Stars vs Winnipeg Jets,Dallas Stars,Winnipeg Jets,3.92,1.99,Winnipeg Jets,Winnipeg Jets,0.551,N,Dallas Stars,3.92
83,2016-10-25,03:00,San Jose Sharks vs Anaheim Ducks,San Jose Sharks,Anaheim Ducks,2.61,3.79,San Jose Sharks,San Jose Sharks,0.588,N,San Jose Sharks,2.61
84,2016-10-25,03:00,Vancouver Canucks vs Ottawa Senators,Vancouver Canucks,Ottawa Senators,2.38,3.25,Vancouver Canucks,Ottawa Senators,0.576,Y,Ottawa Senators,3.25
85,2016-10-25,03:30,Los Angeles Kings vs Columbus Blue Jackets,Los Angeles Kings,Columbus Blue Jackets,4.19,3.57,Columbus Blue Jackets,Columbus Blue Jackets,0.645,N,Los Angeles Kings,4.19
86,2016-10-26,00:00,New York Islanders vs Montreal Canadiens,New York Islanders,Montreal Canadiens,3.38,1.83,Montreal Canadiens,Montreal Canadiens,0.705,N,Montreal Canadiens,1.83
87,2016-10-26,01:00,New York Rangers vs Boston Bruins,New York Rangers,Boston Bruins,1.91,4.13,New York Rangers,New York Rangers,0.664,N,New York Rangers,1.91
88,2016-10-26,02:30,Edmonton Oilers vs Washington Capitals,Edmonton Oilers,Washington Capitals,3.88,2.16,Washington Capitals,Washington Capitals,0.562,N,Edmonton Oilers,3.88
89,2016-10-26,03:30,Anaheim Ducks vs Nashville Predators,Anaheim Ducks,Nashville Predators,2.44,2.91,Anaheim Ducks,Anaheim Ducks,0.629,N,Anaheim Ducks,2.44
90,2016-10-27,00:00,Buffalo Sabres vs Minnesota Wild,Buffalo Sabres,Minnesota Wild,2.59,2.45,Minnesota Wild,Minnesota Wild,0.686,N,Minnesota Wild,2.45
91,2016-10-27,00:00,Philadelphia Flyers vs Arizona Coyotes,Philadelphia Flyers,Arizona Coyotes,3.8,2.55,Arizona Coyotes,Philadelphia Flyers,0.655,Y,Arizona Coyotes,2.55
92,2016-10-27,00:00,Pittsburgh Penguins vs New York Islanders,Pittsburgh Penguins,New York Islanders,2.53,3.86,Pittsburgh Penguins,Pittsburgh Penguins,0.668,N,Pittsburgh Penguins,2.53
93,2016-10-27,00:30,Montreal Canadiens vs Tampa Bay Lightning,Montreal Canadiens,Tampa Bay Lightning,3.98,3.3,Tampa Bay Lightning,Montreal Canadiens,0.621,Y,Montreal Canadiens,3.98
94,2016-10-27,00:30,Toronto Maple Leafs vs Florida Panthers,Toronto Maple Leafs,Florida Panthers,2.36,3.91,Toronto Maple Leafs,Toronto Maple Leafs,0.501,N,Toronto Maple Leafs,2.36
95,2016-10-27,01:00,St. Louis Blues vs Detroit Red Wings,St. Louis Blues,Detroit Red Wings,1.79,4.14,St. Louis Blues,St. Louis Blues,0.562,N,Detroit Red Wings,4.14
96,2016-10-27,01:00,Winnipeg Jets vs Dallas Stars,Winnipeg Jets,Dallas Stars,3.81,1.96,Dallas Stars,Winnipeg Jets,0.654,Y,Winnipeg Jets,3.81
97,2016-10-27,03:30,Los Angeles Kings vs Nashville Predators,Los Angeles Kings,Nashville Predators,2.28,2.15,Nashville Predators,Los Angeles Kings,0.562,Y,Los Angeles Kings,2.28
98,2016-10-27,03:30,San Jose Sharks vs Columbus Blue Jackets,San Jose Sharks,Columbus Blue Jackets,3.85,2.94,Columbus Blue Jackets,Columbus Blue Jackets,0.545,N,San Jose Sharks,3.85
