ID,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result,Winner_Odd
99,2016-10-28,00:30,Carolina Hurricanes vs New York Rangers,Carolina Hurricanes,New York Rangers,2.78,3.76,Carolina Hurricanes,New York Rangers,0.783,Y,Carolina Hurricanes,2.78
100,2016-10-28,02:00,Calgary Flames vs Ottawa Senators,Calgary Flames,Ottawa Senators,1.94,4.0,Calgary Flames,Ottawa Senators,0.594,Y,Calgary Flames,1.94
101,2016-10-28,02:00,Colorado Avalanche vs Winnipeg Jets,Colorado Avalanche,Winnipeg Jets,3.36,2.19,Winnipeg Jets,Winnipeg Jets,0.556,N,Winnipeg Jets,2.19
102,2016-10-28,03:00,Anaheim Ducks vs Columbus Blue Jackets,Anaheim Ducks,Columbus Blue Jackets,3.29,2.25,Columbus Blue Jackets,Columbus Blue Jackets,0.579,N,Columbus Blue Jackets,2.25
103,2016-10-28,03:00,Vancouver Canucks vs Edmonton Oilers,Vancouver Canucks,Edmonton Oilers,3.78,2.83,Edmonton Oilers,Edmonton Oilers,0.603,N,Edmonton Oilers,2.83
104,2016-10-29,00:00,Detroit Red Wings vs Boston Bruins,Detroit Red Wings,Boston Bruins,3.8,2.83,Boston Bruins,Boston Bruins,0.617,N,Boston Bruins,2.83
105,2016-10-29,00:00,Montreal Canadiens vs Toronto Maple Leafs,Montreal Canadiens,Toronto Maple Leafs,2.98,3.92,Montreal Canadiens,Montreal Canadiens,0.762,N,Montreal Canadiens,2.98
106,2016-10-29,00:00,New Jersey Devils vs Tampa Bay Lightning,New Jersey Devils,Tampa Bay Lightning,2.12,2.02,Tampa Bay Lightning,New Jersey Devils,0.507,Y,New Jersey Devils,2.12
107,2016-10-29,00:00,Philadelphia Flyers vs Pittsburgh Penguins,Philadelphia Flyers,Pittsburgh Penguins,3.99,3.12,Pittsburgh Penguins,Pittsburgh Penguins,0.576,N,Pittsburgh Penguins,3.12
108,2016-10-29,02:00,Arizona Coyotes vs Colorado Avalanche,Arizona Coyotes,Colorado Avalanche,3.89,2.52,Colorado Avalanche,Colorado Avalanche,0.512,N,Colorado Avalanche,2.52
109,2016-10-29,02:00,Minnesota Wild vs Dallas Stars,Minnesota Wild,Dallas Stars,2.4,3.84,Minnesota Wild,Minnesota Wild,0.755,N,Minnesota Wild,2.4
110,2016-10-29,02:00,St. Louis Blues vs Los Angeles Kings,St. Louis Blues,Los Angeles Kings,2.57,2.23,Los Angeles Kings,St. Louis Blues,0.584,Y,St. Louis Blues,2.57
111,2016-10-29,02:00,Vancouver Canucks vs Washington Capitals,Vancouver Canucks,Washington Capitals,2.82,2.44,Washington Capitals,Washington Capitals,0.707,N,Washington Capitals,2.44
112,2016-10-29,02:30,San Jose Sharks vs Nashville Predators,San Jose Sharks,Nashville Predators,2.21,3.87,San Jose Sharks,San Jose Sharks,0.661,N,San Jose Sharks,2.21
113,2016-10-29,18:00,Buffalo Sabres vs Florida Panthers,Buffalo Sabres,Florida Panthers,1.96,4.0,Buffalo Sabres,Florida Panthers,0.599,Y,Buffalo Sabres,1.96
114,2016-10-30,01:00,Edmonton Oilers vs Ottawa Senators,Edmonton Oilers,Ottawa Senators,3.97,3.27,Ottawa Senators,Edmonton Oilers,0.581,Y,Ottawa Senators,3.27
115,2016-10-30,01:30,Calgary Flames vs Washington Capitals,Calgary Flames,Washington Capitals,2.55,1.98,Washington Capitals,Washington Capitals,0.722,N,Washington Capitals,1.98
116,2016-10-30,19:00,Winnipeg Jets vs Buffalo Sabres,Winnipeg Jets,Buffalo Sabres,3.8,2.4,Buffalo Sabres,Winnipeg Jets,0.673,Y,Buffalo Sabres,2.4
117,2016-10-30,21:00,Carolina Hurricanes vs Philadelphia Flyers,Carolina Hurricanes,Philadelphia Flyers,2.03,3.8,Carolina Hurricanes,Carolina Hurricanes,0.546,N,Philadelphia Flyers,3.8
118,2016-10-30,21:00,Detroit Red Wings vs Florida Panthers,Detroit Red Wings,Florida Panthers,3.25,2.6,Florida Panthers,Detroit Red Wings,0.533,Y,Florida Panthers,2.6
119,2016-10-30,22:00,New York Islanders vs Toronto Maple Leafs,New York Islanders,Toronto Maple Leafs,3.93,1.95,Toronto Maple Leafs,New York Islanders,0.519,Y,New York Islanders,3.93
120,2016-10-30,23:00,Chicago Blackhawks vs Los Angeles Kings,Chicago Blackhawks,Los Angeles Kings,1.9,3.94,Chicago Blackhawks,Chicago Blackhawks,0.644,N,Chicago Blackhawks,1.9
121,2016-10-30,23:00,New York Rangers vs Tampa Bay Lightning,New York Rangers,Tampa Bay Lightning,3.52,3.35,Tampa Bay Lightning,New York Rangers,0.697,Y,New York Rangers,3.52
122,2016-11-01,00:00,Minnesota Wild vs Buffalo Sabres,Minnesota Wild,Buffalo Sabres,3.81,2.18,Buffalo Sabres,Minnesota Wild,0.771,Y,Buffalo Sabres,2.18
123,2016-11-01,00:00,Winnipeg Jets vs Washington Capitals,Winnipeg Jets,Washington Capitals,2.23,3.85,Winnipeg Jets,Washington Capitals,0.57,Y,Washington Capitals,3.85
124,2016-11-01,00:30,Chicago Blackhawks vs Calgary Flames,Chicago Blackhawks,Calgary Flames,4.24,2.84,Calgary Flames,Chicago Blackhawks,0.769,Y,Chicago Blackhawks,4.24
125,2016-11-01,01:00,Colorado Avalanche vs Nashville Predators,Colorado Avalanche,Nashville Predators,1.69,4.16,Colorado Avalanche,Nashville Predators,0.532,Y,Nashville Predators,4.16
126,2016-11-01,02:00,Arizona Coyotes vs San Jose Sharks,Arizona Coyotes,San Jose Sharks,3.97,3.44,San Jose Sharks,San Jose Sharks,0.699,N,Arizona Coyotes,3.97
127,2016-11-01,02:30,Los Angeles Kings vs Anaheim Ducks,Los Angeles Kings,Anaheim Ducks,3.02,1.92,Anaheim Ducks,Anaheim Ducks,0.516,N,Anaheim Ducks,1.92
128,2016-11-01,23:00,Columbus Blue Jackets vs Dallas Stars,Columbus Blue Jackets,Dallas Stars,3.99,1.9,Dallas Stars,Columbus Blue Jackets,0.8,Y,Columbus Blue Jackets,3.99
129,2016-11-01,23:00,New York Rangers vs St. Louis Blues,New York Rangers,St. Louis Blues,2.46,3.79,New York Rangers,New York Rangers,0.792,N,New York Rangers,2.46
130,2016-11-01,23:30,Florida Panthers vs Boston Bruins,Florida Panthers,Boston Bruins,2.81,1.66,Boston Bruins,Boston Bruins,0.598,N,Boston Bruins,1.66
131,2016-11-01,23:30,New York Islanders vs Tampa Bay Lightning,New York Islanders,Tampa Bay Lightning,4.17,4.43,New York Islanders,Tampa Bay Lightning,0.644,Y,Tampa Bay Lightning,4.43
132,2016-11-01,23:30,Ottawa Senators vs Carolina Hurricanes,Ottawa Senators,Carolina Hurricanes,2.33,3.73,Ottawa Senators,Ottawa Senators,0.611,N,Ottawa Senators,2.33
133,2016-11-01,23:30,Toronto Maple Leafs vs Edmonton Oilers,Toronto Maple Leafs,Edmonton Oilers,2.73,3.48,Toronto Maple Leafs,Toronto Maple Leafs,0.521,N,Toronto Maple Leafs,2.73
134,2016-11-02,00:00,Philadelphia Flyers vs Detroit Red Wings,Philadelphia Flyers,Detroit Red Wings,3.79,2.48,Detroit Red Wings,Detroit Red Wings,0.523,N,Philadelphia Flyers,3.79
135,2016-11-02,02:30,Anaheim Ducks vs Pittsburgh Penguins,Anaheim Ducks,Pittsburgh Penguins,3.17,2.52,Pittsburgh Penguins,Anaheim Ducks,0.547,Y,Pittsburgh Penguins,2.52
136,2016-11-02,23:30,Montreal Canadiens vs Vancouver Canucks,Montreal Canadiens,Vancouver Canucks,2.08,3.94,Montreal Canadiens,Montreal Canadiens,0.84,N,Montreal Canadiens,2.08
137,2016-11-03,00:30,Chicago Blackhawks vs Colorado Avalanche,Chicago Blackhawks,Colorado Avalanche,3.93,2.99,Colorado Avalanche,Chicago Blackhawks,0.725,Y,Chicago Blackhawks,3.93
138,2016-11-03,00:30,Dallas Stars vs St. Louis Blues,Dallas Stars,St. Louis Blues,3.88,2.12,St. Louis Blues,St. Louis Blues,0.566,N,Dallas Stars,3.88
139,2016-11-03,02:00,Arizona Coyotes vs Nashville Predators,Arizona Coyotes,Nashville Predators,1.78,4.04,Arizona Coyotes,Nashville Predators,0.597,Y,Arizona Coyotes,1.78
140,2016-11-03,02:30,Los Angeles Kings vs Pittsburgh Penguins,Los Angeles Kings,Pittsburgh Penguins,2.45,2.69,Los Angeles Kings,Pittsburgh Penguins,0.522,Y,Los Angeles Kings,2.45
141,2016-11-03,02:30,San Jose Sharks vs Calgary Flames,San Jose Sharks,Calgary Flames,3.81,2.32,Calgary Flames,San Jose Sharks,0.776,Y,Calgary Flames,2.32
142,2016-11-03,23:00,Buffalo Sabres vs Toronto Maple Leafs,Buffalo Sabres,Toronto Maple Leafs,2.06,3.74,Buffalo Sabres,Toronto Maple Leafs,0.548,Y,Toronto Maple Leafs,3.74
143,2016-11-03,23:00,New York Islanders vs Philadelphia Flyers,New York Islanders,Philadelphia Flyers,3.19,1.99,Philadelphia Flyers,New York Islanders,0.564,Y,Philadelphia Flyers,1.99
144,2016-11-03,23:00,New York Rangers vs Edmonton Oilers,New York Rangers,Edmonton Oilers,3.93,3.27,Edmonton Oilers,New York Rangers,0.797,Y,New York Rangers,3.93
145,2016-11-03,23:00,Washington Capitals vs Winnipeg Jets,Washington Capitals,Winnipeg Jets,2.04,3.86,Washington Capitals,Washington Capitals,0.671,N,Washington Capitals,2.04
146,2016-11-03,23:30,Florida Panthers vs New Jersey Devils,Florida Panthers,New Jersey Devils,1.93,3.92,Florida Panthers,New Jersey Devils,0.513,Y,Florida Panthers,1.93
147,2016-11-03,23:30,Ottawa Senators vs Vancouver Canucks,Ottawa Senators,Vancouver Canucks,3.44,2.65,Vancouver Canucks,Ottawa Senators,0.677,Y,Ottawa Senators,3.44
148,2016-11-03,23:30,Tampa Bay Lightning vs Boston Bruins,Tampa Bay Lightning,Boston Bruins,3.83,2.36,Boston Bruins,Tampa Bay Lightning,0.516,Y,Boston Bruins,2.36
149,2016-11-04,02:00,Anaheim Ducks vs Arizona Coyotes,Anaheim Ducks,Arizona Coyotes,2.15,3.78,Anaheim Ducks,Anaheim Ducks,0.757,N,Anaheim Ducks,2.15
150,2016-11-04,23:00,Columbus Blue Jackets vs Montreal Canadiens,Columbus Blue Jackets,Montreal Canadiens,2.58,3.74,Columbus Blue Jackets,Columbus Blue Jackets,0.53,N,Columbus Blue Jackets,2.58
151,2016-11-04,23:30,Detroit Red Wings vs Winnipeg Jets,Detroit Red Wings,Winnipeg Jets,2.99,2.04,Winnipeg Jets,Detroit Red Wings,0.561,Y,Winnipeg Jets,2.04
152,2016-11-05,00:00,Dallas Stars vs Chicago Blackhawks,Dallas Stars,Chicago Blackhawks,3.92,2.24,Chicago Blackhawks,Chicago Blackhawks,0.627,N,Chicago Blackhawks,2.24
153,2016-11-05,00:00,Nashville Predators vs Carolina Hurricanes,Nashville Predators,Carolina Hurricanes,3.76,2.84,Carolina Hurricanes,Nashville Predators,0.606,Y,Carolina Hurricanes,2.84
154,2016-11-05,02:00,Los Angeles Kings vs Calgary Flames,Los Angeles Kings,Calgary Flames,1.75,4.26,Los Angeles Kings,Los Angeles Kings,0.695,N,Los Angeles Kings,1.75
155,2016-11-05,02:30,San Jose Sharks vs Pittsburgh Penguins,San Jose Sharks,Pittsburgh Penguins,3.89,3.02,Pittsburgh Penguins,San Jose Sharks,0.581,Y,Pittsburgh Penguins,3.02
156,2016-11-05,19:00,Colorado Avalanche vs Minnesota Wild,Colorado Avalanche,Minnesota Wild,4.14,3.91,Minnesota Wild,Minnesota Wild,0.672,N,Colorado Avalanche,4.14
157,2016-11-05,23:00,Boston Bruins vs New York Rangers,Boston Bruins,New York Rangers,2.59,3.84,Boston Bruins,New York Rangers,0.562,Y,New York Rangers,3.84
158,2016-11-05,23:00,Montreal Canadiens vs Philadelphia Flyers,Montreal Canadiens,Philadelphia Flyers,2.4,1.95,Philadelphia Flyers,Montreal Canadiens,0.793,Y,Montreal Canadiens,2.4
159,2016-11-05,23:00,New York Islanders vs Edmonton Oilers,New York Islanders,Edmonton Oilers,4.07,3.31,Edmonton Oilers,Edmonton Oilers,0.515,N,Edmonton Oilers,3.31
160,2016-11-05,23:00,Ottawa Senators vs Buffalo Sabres,Ottawa Senators,Buffalo Sabres,1.83,4.22,Ottawa Senators,Ottawa Senators,0.656,N,Buffalo Sabres,4.22
161,2016-11-05,23:00,St. Louis Blues vs Columbus Blue Jackets,St. Louis Blues,Columbus Blue Jackets,3.56,1.78,Columbus Blue Jackets,Columbus Blue Jackets,0.616,N,St. Louis Blues,3.56
162,2016-11-05,23:00,Tampa Bay Lightning vs New Jersey Devils,Tampa Bay Lightning,New Jersey Devils,4.14,3.87,New Jersey Devils,Tampa Bay Lightning,0.6,Y,Tampa Bay Lightning,4.14
163,2016-11-05,23:00,Toronto Maple Leafs vs Vancouver Canucks,Toronto Maple Leafs,Vancouver Canucks,2.03,4.01,Toronto Maple Leafs,Toronto Maple Leafs,0.672,N,Toronto Maple Leafs,2.03
164,2016-11-05,23:00,Washington Capitals vs Florida Panthers,Washington Capitals,Florida Panthers,3.09,1.76,Florida Panthers,Washington Capitals,0.647,Y,Washington Capitals,3.09
165,2016-11-06,00:00,Chicago Blackhawks vs Dallas Stars,Chicago Blackhawks,Dallas Stars,2.53,3.82,Chicago Blackhawks,Chicago Blackhawks,0.721,N,Chicago Blackhawks,2.53
166,2016-11-06,00:00,New York Rangers vs Winnipeg Jets,New York Rangers,Winnipeg Jets,2.45,2.07,Winnipeg Jets,New York Rangers,0.802,Y,New York Rangers,2.45
167,2016-11-06,02:30,Anaheim Ducks vs Calgary Flames,Anaheim Ducks,Calgary Flames,4.01,3.67,Calgary Flames,Anaheim Ducks,0.751,Y,Anaheim Ducks,4.01
168,2016-11-06,22:00,Detroit Red Wings vs Edmonton Oilers,Detroit Red Wings,Edmonton Oilers,1.51,4.71,Detroit Red Wings,Detroit Red Wings,0.553,N,Edmonton Oilers,4.71
169,2016-11-06,22:00,St. Louis Blues vs Colorado Avalanche,St. Louis Blues,Colorado Avalanche,5.42,2.1,Colorado Avalanche,St. Louis Blues,0.672,Y,St. Louis Blues,5.42
170,2016-11-06,23:00,Carolina Hurricanes vs New Jersey Devils,Carolina Hurricanes,New Jersey Devils,3.72,3.16,New Jersey Devils,New Jersey Devils,0.617,N,New Jersey Devils,3.16
171,2016-11-07,00:00,Boston Bruins vs Buffalo Sabres,Boston Bruins,Buffalo Sabres,2.39,3.87,Boston Bruins,Boston Bruins,0.809,N,Boston Bruins,2.39
172,2016-11-07,00:00,New York Islanders vs Vancouver Canucks,New York Islanders,Vancouver Canucks,2.58,1.84,Vancouver Canucks,New York Islanders,0.64,Y,New York Islanders,2.58
173,2016-11-07,00:30,Florida Panthers vs Tampa Bay Lightning,Florida Panthers,Tampa Bay Lightning,3.98,3.23,Tampa Bay Lightning,Tampa Bay Lightning,0.56,N,Florida Panthers,3.98
174,2016-11-08,00:00,New Jersey Devils vs Carolina Hurricanes,New Jersey Devils,Carolina Hurricanes,2.25,3.78,New Jersey Devils,New Jersey Devils,0.713,N,New Jersey Devils,2.25
175,2016-11-08,00:00,New York Rangers vs Vancouver Canucks,New York Rangers,Vancouver Canucks,2.83,2.6,Vancouver Canucks,New York Rangers,0.881,Y,Vancouver Canucks,2.6
176,2016-11-08,00:00,Philadelphia Flyers vs Detroit Red Wings,Philadelphia Flyers,Detroit Red Wings,3.92,2.36,Detroit Red Wings,Detroit Red Wings,0.523,N,Detroit Red Wings,2.36
177,2016-11-08,00:00,Pittsburgh Penguins vs Edmonton Oilers,Pittsburgh Penguins,Edmonton Oilers,2.02,3.92,Pittsburgh Penguins,Pittsburgh Penguins,0.604,N,Pittsburgh Penguins,2.02
178,2016-11-08,00:00,Washington Capitals vs San Jose Sharks,Washington Capitals,San Jose Sharks,3.21,1.99,San Jose Sharks,Washington Capitals,0.589,Y,San Jose Sharks,1.99
179,2016-11-08,00:30,Montreal Canadiens vs Boston Bruins,Montreal Canadiens,Boston Bruins,3.45,2.24,Boston Bruins,Montreal Canadiens,0.584,Y,Montreal Canadiens,3.45
180,2016-11-08,00:30,Toronto Maple Leafs vs Los Angeles Kings,Toronto Maple Leafs,Los Angeles Kings,3.82,2.8,Los Angeles Kings,Toronto Maple Leafs,0.545,Y,Los Angeles Kings,2.8
181,2016-11-08,01:00,Nashville Predators vs Ottawa Senators,Nashville Predators,Ottawa Senators,3.82,2.48,Ottawa Senators,Nashville Predators,0.548,Y,Nashville Predators,3.82
182,2016-11-08,01:00,Winnipeg Jets vs Dallas Stars,Winnipeg Jets,Dallas Stars,1.89,4.04,Winnipeg Jets,Winnipeg Jets,0.654,N,Winnipeg Jets,1.89
183,2016-11-08,02:00,Colorado Avalanche vs Arizona Coyotes,Colorado Avalanche,Arizona Coyotes,3.55,2.54,Arizona Coyotes,Colorado Avalanche,0.618,Y,Arizona Coyotes,2.54
184,2016-11-09,00:00,Columbus Blue Jackets vs Anaheim Ducks,Columbus Blue Jackets,Anaheim Ducks,1.9,3.93,Columbus Blue Jackets,Columbus Blue Jackets,0.679,N,Columbus Blue Jackets,1.9
185,2016-11-09,00:30,Buffalo Sabres vs Ottawa Senators,Buffalo Sabres,Ottawa Senators,4.0,3.41,Ottawa Senators,Ottawa Senators,0.553,N,Ottawa Senators,3.41
186,2016-11-09,01:00,St. Louis Blues vs Chicago Blackhawks,St. Louis Blues,Chicago Blackhawks,3.0,1.93,Chicago Blackhawks,Chicago Blackhawks,0.509,N,Chicago Blackhawks,1.93
187,2016-11-10,00:00,Boston Bruins vs Columbus Blue Jackets,Boston Bruins,Columbus Blue Jackets,3.49,2.72,Columbus Blue Jackets,Boston Bruins,0.547,Y,Boston Bruins,3.49
188,2016-11-10,00:00,Carolina Hurricanes vs Anaheim Ducks,Carolina Hurricanes,Anaheim Ducks,3.76,2.35,Anaheim Ducks,Anaheim Ducks,0.577,N,Anaheim Ducks,2.35
189,2016-11-10,00:00,Pittsburgh Penguins vs Minnesota Wild,Pittsburgh Penguins,Minnesota Wild,2.17,3.72,Pittsburgh Penguins,Minnesota Wild,0.508,Y,Minnesota Wild,3.72
190,2016-11-10,00:30,Detroit Red Wings vs Vancouver Canucks,Detroit Red Wings,Vancouver Canucks,2.29,3.86,Detroit Red Wings,Detroit Red Wings,0.699,N,Detroit Red Wings,2.29
191,2016-11-10,00:30,Florida Panthers vs San Jose Sharks,Florida Panthers,San Jose Sharks,2.75,2.22,San Jose Sharks,San Jose Sharks,0.507,N,San Jose Sharks,2.22
192,2016-11-10,00:30,Montreal Canadiens vs Los Angeles Kings,Montreal Canadiens,Los Angeles Kings,3.81,2.88,Los Angeles Kings,Montreal Canadiens,0.755,Y,Montreal Canadiens,3.81
193,2016-11-10,00:30,Tampa Bay Lightning vs New York Islanders,Tampa Bay Lightning,New York Islanders,1.9,4.03,Tampa Bay Lightning,Tampa Bay Lightning,0.736,N,Tampa Bay Lightning,1.9
194,2016-11-10,01:00,Nashville Predators vs St. Louis Blues,Nashville Predators,St. Louis Blues,3.88,2.26,St. Louis Blues,Nashville Predators,0.514,Y,Nashville Predators,3.88
195,2016-11-10,02:00,Arizona Coyotes vs Winnipeg Jets,Arizona Coyotes,Winnipeg Jets,2.48,3.86,Arizona Coyotes,Winnipeg Jets,0.62,Y,Winnipeg Jets,3.86
196,2016-11-10,02:00,Calgary Flames vs Dallas Stars,Calgary Flames,Dallas Stars,2.49,2.77,Calgary Flames,Dallas Stars,0.509,Y,Dallas Stars,2.77
197,2016-11-11,00:00,Buffalo Sabres vs New Jersey Devils,Buffalo Sabres,New Jersey Devils,2.45,2.47,Buffalo Sabres,New Jersey Devils,0.662,Y,New Jersey Devils,2.47
198,2016-11-11,00:00,Toronto Maple Leafs vs Philadelphia Flyers,Toronto Maple Leafs,Philadelphia Flyers,3.74,2.56,Philadelphia Flyers,Toronto Maple Leafs,0.598,Y,Toronto Maple Leafs,3.74
199,2016-11-11,00:30,Ottawa Senators vs Los Angeles Kings,Ottawa Senators,Los Angeles Kings,2.57,3.75,Ottawa Senators,Ottawa Senators,0.551,N,Ottawa Senators,2.57
